repo_name,total_contributors,total_open_issues,total_closed_issues,total_stars,total_forks,total_commits,days_since_last_commit,status
hystrix,154,405,1442,24164,4708,2119,542,Inactive
storm,536,3,3814,6605,4077,10992,0,Active
butterknife,105,120,1564,25556,4599,1016,1530,Inactive
crate,130,299,16783,4141,567,16124,0,Active
jabref,749,523,11752,3674,2598,21106,0,Active
jcabi-github,73,165,1628,306,142,2955,0,Active
openmicroscopy,60,32,6383,202,102,48788,0,Active
presto,938,2247,21904,16118,5398,23677,0,Active
RxAndroid,80,1,595,19881,2943,554,97,Active
SpongeAPI,135,148,2385,1139,342,4176,0,Active
spring-boot,1402,561,42445,75610,40789,52129,0,Active
okhttp,322,174,8274,45985,9172,5727,0,Active
retrofit,205,155,4009,43184,7306,2423,0,Active
WordPress-Android,279,976,20485,2994,1323,96532,0,Active
activemq,186,51,1314,2318,1450,11944,0,Active
camel,1439,6,16565,5627,4961,73474,0,Active
derby,46,22,625,4720,265,2348,19,Active
geronimo,61,21,7,37,22,13137,4254,Inactive
hadoop,880,1085,6119,14831,8901,27492,0,Active
hbase,730,290,6255,5250,3331,20385,0,Active
mahout,68,17,461,2147,943,4720,0,Active
openjpa,50,17,92,137,132,5371,43,Active
pig,147,285,850,6014,965,1803,0,Active
electron,1489,976,43243,114780,15623,28848,0,Active
mostly-adequate-guide,186,87,563,23448,1871,875,56,Active
foundation-sites,1333,48,12276,29673,5472,17309,46,Active
vue,381,601,11972,208172,33677,3593,33,Active
kubernetes,5203,2515,126252,111780,39870,127335,0,Active
socket.io,546,172,4269,61370,10131,7605,0,Active
httpie,173,178,1318,34198,3688,1797,0,Active
redux,1042,39,4571,60943,15259,4054,0,Active
opencv,2219,2707,23748,79680,55880,34721,0,Active
express,344,217,5435,65908,16668,6002,0,Active
cocos2d-x,875,1617,19183,18311,7052,37362,0,Active
symfony,4304,920,53597,29863,9493,72848,0,Active
homebrew-cask,11735,34,195275,20999,10761,272487,0,Active
angular.js,1854,463,16569,58791,27473,9074,214,Inactive
bootstrap,1627,651,37353,171082,78913,22922,0,Active
tsunami-security-scanner,31,19,94,8292,897,248,0,Active
LeetCode,2,1,12,7401,1880,164,87,Inactive
AarogyaSetu_Android,8,451,156,2889,1968,129,1625,Inactive
linkage-recyclerview,2,3,59,3651,459,170,606,Inactive
tools-ocr,6,22,59,2995,480,96,198,Inactive
virusbroadcast,8,53,22,1661,574,48,1684,Inactive
android-developer-roadmap,25,14,56,7377,684,126,0,Active
thusy,1,8,13,1520,885,62,1764,Inactive
randomimage,1,1,1,1325,835,13,1714,Inactive
springbootvulexploit,1,4,7,5819,1304,27,1343,Inactive
appstartfaster,4,1,7,1595,69,56,35,Inactive
spring-authorization-server,89,47,1809,4904,1302,1529,0,Active
voldemort,122,79,428,2642,585,4263,477,Inactive
zipkin,140,167,3559,17053,3094,2958,0,Active
paperclip,454,54,2647,9002,2428,1973,1159,Inactive
libuv,586,179,4150,24510,3615,5466,0,Active
django-cms,576,128,7885,10254,3120,16200,0,Active
elasticsearch,2253,4807,113725,71049,24936,82160,0,Active
foundation-apps,82,147,689,1573,216,1680,2870,Inactive
node,4062,2053,51993,108383,29977,43089,0,Active
devise,706,197,5516,24046,5545,3910,0,Active
libgit2,599,436,6366,9737,2420,15848,0,Active
SignalR,113,56,4670,9217,2281,4735,29,Active
reddit,224,1,891,16840,2868,7956,2584,Inactive
boto,684,1119,2825,6472,2255,7220,914,Inactive
openFrameworks,442,1108,7056,10004,2553,17488,0,Active
sbt,418,822,6950,4813,937,12202,0,Active
akka,1060,879,19101,13070,3592,27156,0,Active
TrinityCore,947,1567,28540,9682,6078,43296,0,Active
xbmc,1193,906,25151,18646,6310,67219,0,Active
redis,818,2524,10819,67411,23846,12297,0,Active
phantomjs,177,14,5868,29472,5746,1958,1583,Inactive
bitcoin,1211,672,29337,80814,36591,43417,0,Active
cakephp,831,69,17926,8705,3418,47710,0,Active
slim,284,9,3315,11992,1947,4522,0,Active
diaspora,543,428,7990,13406,2916,20972,69,Active
ThinkUp,123,181,2105,3299,674,2866,3071,Inactive
gitlabhq,3002,17,3611,23836,5747,114011,0,Active
html5-boilerplate,312,13,3095,56633,12267,2574,42,Active
octopress,132,244,1543,9307,2614,857,3186,Inactive
requests,760,257,6289,52285,9338,6320,2,Active
d3,151,17,3389,109275,22862,4505,21,Active
flask,844,3,5265,68343,16249,5386,0,Active
three.js,2340,560,29384,103326,35442,44607,0,Active
netty,793,605,13761,33583,15974,11653,0,Active
rails,6634,1240,52341,56230,21715,94074,0,Active
scala,711,35,10854,14360,3116,40058,0,Active
phpunit,535,110,5825,19734,2199,21802,0,Active
zendframework,1023,19,7757,5501,2539,27058,2001,Inactive
cassandra,595,613,3134,8919,3641,30350,0,Active
clojure,197,1,97,10496,1464,3550,0,Active
git,2257,183,1408,52914,25717,75634,0,Active
jquery,342,87,5310,59285,20578,6746,0,Active
sparkle,215,22,2467,7516,1050,4199,0,Active
tuscany-sca-2.x,35,103,22,24,16,16253,4081,Inactive
springcloud-learning,1,2,34,6532,2785,49,96,Inactive
spring-cloud-repo,1,6,13,1574,1219,27,1800,Inactive
CraftBukkit,161,1,1,3,2,2635,3740,Inactive
